tsne1,tsne2,label
30.591982,0.6280102,drink
9.513244,10.78795,drink
19.846607,23.42098,drink
0.5268318,2.2097845,drink
11.622356,4.1497884,drink
-6.910092,0.0781899,drink
14.284524,1.8124689,drink
-15.17304,3.6282218,drink
9.806907,29.742825,drink
4.9081783,16.605745,drink
6.118692,17.660017,drink
30.218967,12.721395,drink
5.8155646,-3.2248762,drink
9.227655,28.86426,drink
-23.98994,-18.73445,drink
18.33985,8.812272,drink
-11.542465,13.221704,drink
-7.4673495,1.4896547,drink
24.455608,1.6532894,drink
-2.3272984,0.47635338,drink
29.718431,1.3317149,drink
3.529416,-23.812462,drink
27.859858,2.8473916,drink
22.120754,19.178652,drink
-3.8756886,-1.8445251,drink
8.548431,-0.69535327,drink
11.485055,7.781042,drink
16.51833,7.318189,drink
2.8598897,-42.14946,drink
15.315659,24.497427,drink
14.014414,19.698195,drink
-18.159264,3.5988522,drink
8.630329,-0.7636119,drink
42.10153,-1.3279184,drink
-10.020285,-1.8030224,drink
27.132935,1.806847,drink
25.493084,-8.608417,drink
21.38319,4.4294515,drink
24.022596,-2.5919251,drink
5.848113,10.94306,drink
13.504256,10.748522,drink
-15.289798,2.342594,drink
0.3450222,8.993196,drink
-19.263245,-3.471414,drink
29.306007,0.46682146,drink
-4.1018314,-1.0495725,drink
-30.90771,10.930025,drink
22.611095,17.232845,drink
18.853622,35.662727,drink
21.326382,21.524479,drink
18.250698,10.9106455,drink
15.7718525,18.763985,drink
13.890448,5.9223547,drink
-16.891596,25.533031,drink
-7.694781,-0.52067506,drink
-5.1068587,-0.39536402,drink
35.50358,12.726736,drink
26.773579,-0.49258518,drink
12.499235,4.204145,drink
14.516514,10.162125,drink
-4.427307,-24.104792,drink
-18.809404,-29.33001,drink
15.445541,11.060341,drink
19.84739,23.419989,drink
16.47667,5.3663177,drink
-3.5399156,-0.35753468,drink
-8.746763,-0.5034187,drink
18.911842,15.592804,drink
16.138168,7.5241838,drink
19.847075,23.419294,drink
-3.058806,-28.190214,drink
42.10154,-1.3279086,drink
20.229788,10.078268,drink
17.605152,6.4788804,drink
-14.034623,5.640483,drink
14.585364,0.106914125,drink
19.890617,8.048997,drink
29.718235,1.3314779,drink
-12.257324,28.168533,drink
20.46836,-0.19685881,drink
2.859889,-42.149506,drink
6.923606,25.511692,drink
8.344882,11.318778,drink
10.345123,36.784763,drink
3.279414,7.7983127,drink
1.5168307,0.42958355,drink
15.953609,21.75384,drink
-19.542282,-10.219762,drink
19.899012,9.840258,drink
11.618865,1.8473338,drink
3.6987839,-21.443533,drink
13.56334,17.099054,drink
-19.60634,26.150576,drink
11.664449,12.639025,drink
18.805151,6.367561,drink
